schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,40.694854,-73.806837,"143-26 101ST AVE JAMAICA, NY 11435",JAMAICA,11435,19%,22%,45%,67%,2%
P.S. 182 SAMANTHA SMITH,40.706506,-73.803188,"153-27 88TH AVE JAMAICA, NY 11432",JAMAICA,11432,28%,14%,54%,68%,1%
P.S. 035 NATHANIEL WOODHULL,40.713433,-73.768881,"191-02 90TH AVE HOLLIS, NY 11423",HOLLIS,11423,24%,35%,29%,64%,4%
P.S. 019 THE CURTIS SCHOOL,40.630563,-74.126888,"780 POST AVE STATEN ISLAND, NY 10310",STATEN ISLAND,10310,4%,16%,68%,84%,8%
P.S. 145 ANDREW JACKSON,40.701446,-73.932301,"100 NOLL ST BROOKLYN, NY 11206",BROOKLYN,11206,1%,3%,94%,97%,2%
I.S. 347 SCHOOL OF HUMANITIES,40.700818,-73.927587,"35 STARR ST BROOKLYN, NY 11221",BROOKLYN,11221,2%,7%,89%,96%,1%
HARRIET TUBMAN CHARTER SCHOOL,40.832272,-73.905817,"3565 3RD AVE BRONX, NY 10456",BRONX,10456,0%,68%,31%,98%,1%
THE STAR ACADEMY - P.S.63,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,4%,20%,65%,84%,10%
THE CHILDREN'S WORKSHOP SCHOOL,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,10%,10%,39%,49%,38%
NEIGHBORHOOD SCHOOL,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,5%,13%,34%,47%,45%
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026",NEW YORK,10026,2%,53%,44%,96%,1%
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,40.785027,-73.942008,"410 E 100TH ST NEW YORK, NY 10029",NEW YORK,10029,5%,36%,51%,87%,7%
ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,40.794167,-73.932694,"260 PLEASANT AVE NEW YORK, NY 10029",NEW YORK,10029,5%,29%,64%,94%,1%
P.S. 018 PARK TERRACE,40.871646,-73.911618,"4124 9TH AVE NEW YORK, NY 10034",NEW YORK,10034,0%,1%,97%,98%,2%
J.H.S. 052 INWOOD,40.865914,-73.925157,"650 ACADEMY ST NEW YORK, NY 10034",NEW YORK,10034,0%,4%,93%,97%,2%
MIDDLE SCHOOL 322,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040,0%,3%,95%,98%,1%
P.S. 025 BILINGUAL SCHOOL,40.812854,-73.905725,"811 E 149TH ST BRONX, NY 10455",BRONX,10455,1%,11%,87%,97%,1%
P.S. 035 FRANZ SIEGEL,40.82761,-73.91809,"261 E 163RD ST BRONX, NY 10451",BRONX,10451,1%,29%,68%,97%,1%
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456,3%,29%,66%,95%,2%
P.S. 226,40.855568,-73.91622,"1950 SEDGWICK AVE BRONX, NY 10453",BRONX,10453,1%,23%,76%,98%,0%
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,1%,15%,83%,98%,1%
P.S. 396,40.854367,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,0%,22%,76%,98%,2%
P.S. 068 BRONX,40.891483,-73.838736,"4011 MONTICELLO AVE BRONX, NY 10466",BRONX,10466,2%,77%,19%,95%,1%
P.S. 105 SEN ABRAHAM BERNSTEIN,40.852767,-73.866401,"725 BRADY AVE BRONX, NY 10462",BRONX,10462,8%,11%,66%,77%,13%
P.S. 106 PARKCHESTER,40.837105,-73.85484,"2120 ST RAYMOND'S AVE BRONX, NY 10462",BRONX,10462,34%,26%,35%,61%,4%
ENTRADA ACADEMY,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,2%,16%,80%,96%,1%
P.S. 084 JOSE DE DIEGO,40.714822,-73.963516,"250 BERRY ST BROOKLYN, NY 11211",BROOKLYN,11211,3%,3%,62%,65%,27%
P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,40.695397,-73.960005,"850 KENT AVE BROOKLYN, NY 11205",BROOKLYN,11205,0%,17%,81%,98%,2%
P.S. 770 NEW AMERICAN ACADEMY,40.663966,-73.927858,"60 E 94TH ST BROOKLYN, NY 11212",BROOKLYN,11212,1%,65%,8%,73%,16%
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,40.658685,-73.928682,"905 WINTHROP ST BROOKLYN, NY 11203",BROOKLYN,11203,2%,89%,2%,91%,2%
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,40.658685,-73.928682,"905 WINTHROP ST BROOKLYN, NY 11203",BROOKLYN,11203,2%,89%,7%,96%,2%
P.S. 346 ABE STARK,40.646745,-73.881849,"1400 PENNSYLVANIA AVE BROOKLYN, NY 11239",BROOKLYN,11239,6%,61%,24%,85%,6%
P.S. 179 KENSINGTON,40.64022,-73.977267,"202 AVE C BROOKLYN, NY 11218",BROOKLYN,11218,56%,3%,25%,28%,15%
I.S. 303 HERBERT S. EISENBERG,40.58241,-73.972436,"501 WEST AVE BROOKLYN, NY 11224",BROOKLYN,11224,21%,12%,34%,46%,33%
P.S. 109,40.636004,-73.933149,"1001 E 45TH ST BROOKLYN, NY 11210",BROOKLYN,11210,2%,80%,15%,95%,3%
EAGLE ACADEMY FOR YOUNG MEN II,40.678113,-73.915211,"1137 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,1%,90%,8%,97%,1%
P.S. 123,40.678902,-73.795555,"145-01 119TH AVE SOUTH OZONE PARK, NY 11436",SOUTH OZONE PARK,11436,12%,61%,19%,81%,2%
J.H.S. 210 ELIZABETH BLACKWELL,40.684802,-73.847569,"93-11 101ST AVE OZONE PARK, NY 11416",OZONE PARK,11416,28%,6%,61%,67%,3%
P.S. 054 HILLSIDE,40.702681,-73.824185,"86-02 127TH ST RICHMOND HILL, NY 11418",RICHMOND HILL,11418,34%,9%,50%,59%,2%
P.S. 095 EASTWOOD,40.710718,-73.783055,"179-01 90TH AVE JAMAICA, NY 11432",JAMAICA,11432,39%,11%,43%,54%,2%
THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,40.620483,-74.080771,"101 WARREN ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304,9%,52%,31%,83%,7%
P.S. /I.S. 384 FRANCES E. CARTER,40.68977,-73.904832,"242 COOPER ST BROOKLYN, NY 11207",BROOKLYN,11207,2%,12%,85%,97%,1%
DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,40.827387,-73.900529,"800 HOME ST-RM 205 BRONX, NY 10456",BRONX,10456,1%,32%,65%,97%,1%
P.S. 075 EMILY DICKINSON,40.79511,-73.973988,"735 WEST END AVE NEW YORK, NY 10025",NEW YORK,10025,2%,23%,56%,80%,16%
FREDERICK DOUGLASS ACADEMY,40.824398,-73.936545,"2581 7TH AVE NEW YORK, NY 10039",NEW YORK,10039,1%,71%,23%,94%,2%
P.S. 152 DYCKMAN VALLEY,40.860052,-73.927601,"93 NAGLE AVE NEW YORK, NY 10040",NEW YORK,10040,0%,2%,96%,98%,1%
P.S. 277,40.813307,-73.913837,"519 ST ANNS AVE BRONX, NY 10454",BRONX,10454,0%,23%,74%,97%,1%
P.S. X014 SENATOR JOHN CALANDRA,40.835535,-73.825861,"3041 BRUCKNER BLVD BRONX, NY 10461",BRONX,10461,4%,6%,65%,71%,24%
P.S. 069 JOURNEY PREP SCHOOL,40.816837,-73.860541,"560 THERIOT AVE BRONX, NY 10473",BRONX,10473,2%,16%,80%,96%,1%
P.S. 071 ROSE E. SCALA,40.845595,-73.829638,"3040 ROBERTS AVE BRONX, NY 10461",BRONX,10461,7%,4%,62%,66%,26%
P.S./M.S. 280 MOSHOLU PARKWAY,40.877179,-73.881546,"3202 STEUBEN AVE BRONX, NY 10467",BRONX,10467,11%,9%,74%,83%,5%
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),40.87956,-73.909674,"2975 TIBBETTS AVE BRONX, NY 10463",BRONX,10463,4%,10%,82%,91%,4%
P.S. 089 BRONX,40.862563,-73.859202,"980 MACE AVE BRONX, NY 10469",BRONX,10469,7%,22%,54%,76%,17%
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),40.883064,-73.830908,"3441 STEENWICK AVE BRONX, NY 10475",BRONX,10475,0%,67%,29%,97%,2%
MOTT HALL V,40.831694,-73.877464,"1551 E 172ND ST BRONX, NY 10472",BRONX,10472,4%,18%,76%,94%,1%
FORT GREENE PREPARATORY ACADEMY,40.694425,-73.971627,"100 CLERMONT AVE BROOKLYN, NY 11205",BROOKLYN,11205,2%,65%,28%,93%,4%
P.S. 017 HENRY D. WOODWORTH,40.715274,-73.957057,"208 N 5TH ST BROOKLYN, NY 11211",BROOKLYN,11211,2%,7%,80%,87%,11%
P.S. 250 GEORGE H. LINDSAY,40.70674,-73.945664,"108 MONTROSE AVE BROOKLYN, NY 11206",BROOKLYN,11206,14%,12%,73%,84%,2%
ELIJAH STROUD MIDDLE SCHOOL,40.674551,-73.960867,"750 CLASSON AVE BROOKLYN, NY 11238",BROOKLYN,11238,2%,83%,14%,96%,2%
P.S. 276 LOUIS MARSHALL,40.633955,-73.908254,"1070 E 83RD ST BROOKLYN, NY 11236",BROOKLYN,11236,1%,91%,5%,96%,1%
P.S. 214 MICHAEL FRIEDSAM,40.676324,-73.863062,"2944 PITKIN AVE BROOKLYN, NY 11208",BROOKLYN,11208,51%,13%,33%,46%,2%
J.H.S. 078 ROY H. MANN,40.620767,-73.912988,"1420 E 68TH ST BROOKLYN, NY 11234",BROOKLYN,11234,5%,73%,10%,83%,11%
SCHOOL OF SCIENCE & TECHNOLOGY,40.632709,-73.95457,"725 E 23RD ST BROOKLYN, NY 11210",BROOKLYN,11210,5%,64%,26%,90%,3%
P.S. 071 FOREST,40.7114,-73.904763,"62-85 FOREST AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,3%,1%,58%,59%,37%
I.S. 077,40.699269,-73.901988,"976 SENECA AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,10%,3%,76%,79%,11%
P.S. 091 RICHARD ARKWRIGHT,40.703479,-73.883974,"68-10 CENTRAL AVE GLENDALE, NY 11385",GLENDALE,11385,4%,3%,49%,52%,44%
P.S. 223 LYNDON B. JOHNSON,40.674555,-73.790212,"125-20 SUTPHIN BLVD JAMAICA, NY 11436",JAMAICA,11436,8%,67%,16%,83%,1%
P.S. 055 MAURE,40.6936,-73.816147,"131-10 97TH AVE RICHMOND HILL, NY 11418",RICHMOND HILL,11418,53%,9%,23%,33%,1%
P.S. 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,40.673264,-73.769014,"171-05 137TH AVE JAMAICA, NY 11434",JAMAICA,11434,2%,86%,9%,94%,1%
P.S. 117 J. KELD / BRIARWOOD SCHOOL,40.710231,-73.813057,"85-15 143RD ST JAMAICA, NY 11435",JAMAICA,11435,37%,10%,33%,43%,16%
THE JERMAINE L. GREEN STEM INSTITUTE OF QUEENS,40.679787,-73.774018,"126-10 BEDELL ST JAMAICA, NY 11434",JAMAICA,11434,2%,90%,6%,96%,0%
P.S. 015 JACKIE ROBINSON,40.685998,-73.756807,"121-15 LUCAS ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,94%,5%,99%,0%
I.S. 034 TOTTENVILLE,40.507803,-74.243221,"528 ACADEMY AVE STATEN ISLAND, NY 10307",STATEN ISLAND,10307,4%,0%,11%,11%,85%
THE OPPORTUNITY CHARTER SCHOOL,40.801651,-73.955295,"240 W 113TH ST-4TH FL NEW YORK, NY 10026",NEW YORK,10026,1%,56%,42%,98%,0%
ACADEMY OF THE CITY CHARTER SCHOOL,40.75721,-73.902515,"31-29 60TH ST WOODSIDE, NY 11377",WOODSIDE,11377,21%,12%,51%,63%,14%
BRONX CHARTER SCHOOL FOR THE ARTS,40.821798,-73.886463,"950 LONGFELLOW AVE BRONX, NY 10474",BRONX,10474,1%,28%,67%,96%,2%
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454,1%,24%,72%,96%,2%
HOSTOS-LINCOLN ACADEMY OF SCIENCE,40.814702,-73.912036,"600 ST ANNS AVE BRONX, NY 10455",BRONX,10455,3%,18%,76%,94%,1%
THE DR. EMMETT W. BASSETT SCHOOL,40.828493,-73.856571,"1075 PUGSLEY AVE BRONX, NY 10472",BRONX,10472,31%,9%,51%,60%,7%
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,40.842811,-73.916384,"1501 JEROME AVE BRONX, NY 10452",BRONX,10452,0%,22%,77%,99%,1%
P.S. 051 BRONX NEW SCHOOL,40.850632,-73.88653,"695 E 182ND ST BRONX, NY 10457",BRONX,10457,3%,37%,59%,96%,2%
P.S. 310 MARBLE HILL,40.872481,-73.905299,"260 W KINGSBRIDGE RD BRONX, NY 10463",BRONX,10463,1%,9%,85%,95%,3%
BAYCHESTER ACADEMY,40.880961,-73.839642,"3500 EDSON AVE BRONX, NY 10466",BRONX,10466,1%,72%,21%,93%,2%
I.S. 181 PABLO CASALS,40.874988,-73.832178,"800 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,5%,63%,26%,89%,4%
M.S. 061 DR. GLADSTONE H. ATWELL,40.663676,-73.949034,"400 EMPIRE BLVD BROOKLYN, NY 11225",BROOKLYN,11225,1%,84%,10%,94%,1%
I.S. 340,40.67627,-73.969722,"227 STERLING PL BROOKLYN, NY 11238",BROOKLYN,11238,2%,83%,13%,96%,1%
P.S. 208 ELSA EBELING,40.642701,-73.9309,"4801 AVE D BROOKLYN, NY 11203",BROOKLYN,11203,1%,93%,3%,97%,2%
I.S. 211 JOHN WILSON,40.643163,-73.895658,"1001 E 100TH ST BROOKLYN, NY 11236",BROOKLYN,11236,1%,87%,11%,98%,1%
P.S. 268 EMMA LAZARUS,40.657324,-73.927558,"133 E 53RD ST BROOKLYN, NY 11203",BROOKLYN,11203,0%,94%,4%,98%,2%
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,40.634787,-73.981631,"4200 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,47%,21%,19%,40%,12%
I.S. 096 SETH LOW,40.608043,-73.984972,"99 AVE P BROOKLYN, NY 11204",BROOKLYN,11204,33%,11%,28%,38%,27%
KINGSBOROUGH EARLY COLLEGE SCHOOL,40.593624,-73.986144,"2630 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,8%,24%,27%,51%,40%
P.S. 088 SENECA,40.7041,-73.89641,"60-85 CATALPA AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,6%,2%,52%,54%,40%
J.H.S. 226 VIRGIL I. GRISSOM,40.675063,-73.816692,"121-10 ROCKAWAY BLVD SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,24%,39%,16%,55%,1%
CYNTHIA JENKINS SCHOOL,40.676251,-73.758597,"179-37 137TH AVE JAMAICA, NY 11434",JAMAICA,11434,2%,90%,7%,97%,0%
P.S. 136 ROY WILKINS,40.698936,-73.752691,"201-15 115TH AVE SAINT ALBANS, NY 11412",SAINT ALBANS,11412,1%,90%,6%,96%,1%
I.S. 238 - SUSAN B. ANTHONY ACADEMY,40.712772,-73.780173,"88-15 182ND ST HOLLIS, NY 11423",HOLLIS,11423,27%,39%,28%,67%,2%
I.S. 204 OLIVER W. HOLMES,40.756628,-73.932648,"36-41 28TH ST LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106,23%,18%,53%,71%,6%
P.S. 045 JOHN TYLER,40.628306,-74.107516,"58 LAWRENCE AVE STATEN ISLAND, NY 10310",STATEN ISLAND,10310,5%,17%,47%,64%,27%
P.S. 116 ELIZABETH L FARRELL,40.698057,-73.916588,"515 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237,2%,4%,94%,98%,0%
UNITY PREP CHARTER SCHOOL,40.686208,-73.940924,"432 MONROE ST BROOKLYN, NY 11221",BROOKLYN,11221,2%,78%,17%,95%,1%
P.S. 020 ANNA SILVER,40.721274,-73.986315,"166 ESSEX ST NEW YORK, NY 10002",NEW YORK,10002,35%,8%,49%,57%,4%
P.S. 008 LUIS BELLIARD,40.839384,-73.936783,"465 W 167TH ST NEW YORK, NY 10032",NEW YORK,10032,0%,4%,96%,99%,1%
P.S. 028 WRIGHT BROTHERS,40.831655,-73.942079,"475 W 155TH ST NEW YORK, NY 10032",NEW YORK,10032,1%,12%,84%,95%,4%
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,40.833487,-73.942446,"504 W 158TH ST NEW YORK, NY 10033",NEW YORK,10033,1%,7%,91%,98%,1%
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,40.824884,-73.873517,"1025 MORRISON AVE BRONX, NY 10472",BRONX,10472,4%,28%,68%,96%,1%
P.S. 236 LANGSTON HUGHES,40.848826,-73.909699,"1871 WALTON AVE BRONX, NY 10453",BRONX,10453,0%,29%,68%,98%,2%
THE HIGHBRIDGE GREEN SCHOOL,40.838201,-73.928084,"200 W 167TH ST BRONX, NY 10452",BRONX,10452,1%,25%,73%,98%,1%
P.S. 086 KINGSBRIDGE HEIGHTS,40.869847,-73.898263,"2756 RESERVOIR AVE BRONX, NY 10468",BRONX,10468,4%,8%,86%,94%,1%
THE BRONX SCHOOL OF YOUNG LEADERS,40.851349,-73.910712,"40 W TREMONT ST BRONX, NY 10453",BRONX,10453,1%,24%,74%,98%,1%
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,0%,24%,75%,99%,0%
P.S. 097 BRONX,40.863072,-73.846947,"1375 MACE AVE BRONX, NY 10469",BRONX,10469,17%,28%,36%,65%,16%
FANNIE LOU HAMER MIDDLE SCHOOL,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,1%,26%,71%,97%,1%
P.S. 120 CARLOS TAPIA,40.700657,-73.937693,"18 BEAVER ST BROOKLYN, NY 11206",BROOKLYN,11206,2%,17%,80%,96%,1%
PARK SLOPE COLLEGIATE,40.669302,-73.97867,"237 7TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,7%,39%,36%,75%,14%
P.S. 161 THE CROWN,40.665905,-73.9492,"330 CROWN ST BROOKLYN, NY 11225",BROOKLYN,11225,8%,78%,11%,89%,2%
P.S. 241 EMMA L. JOHNSTON,40.668884,-73.960541,"976 PRESIDENT ST BROOKLYN, NY 11225",BROOKLYN,11225,0%,86%,10%,96%,2%
P.S. 052 SHEEPSHEAD BAY,40.587404,-73.940251,"2675 E 29TH ST BROOKLYN, NY 11235",BROOKLYN,11235,16%,14%,15%,29%,53%
P.S. K315,40.632619,-73.954263,"2310 GLENWOOD RD BROOKLYN, NY 11210",BROOKLYN,11210,9%,62%,25%,87%,3%
P.S. 068 CAMBRIDGE,40.696839,-73.897308,"59-09 ST FELIX AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,4%,3%,83%,86%,9%
P.S. 063 OLD SOUTH,40.676903,-73.84656,"90-15 SUTTER AVE OZONE PARK, NY 11417",OZONE PARK,11417,31%,5%,51%,56%,8%
P.S. 253,40.607296,-73.748812,"1307 CENTRAL AVE FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,2%,35%,58%,93%,3%
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,40.601532,-73.763979,"8-21 BAY 25TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,8%,43%,42%,85%,4%
WAVE PREPARATORY ELEMENTARY SCHOOL,40.599704,-73.758355,"535 BRIAR PL FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,1%,42%,54%,96%,1%
I.S. 059 SPRINGFIELD GARDENS,40.681888,-73.753044,"132-55 RIDGEDALE ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,91%,5%,96%,1%
P.S. 017 HENRY DAVID THOREAU,40.768259,-73.922754,"28-37 29TH ST LONG ISLAND CITY, NY 11102",LONG ISLAND CITY,11102,19%,12%,55%,67%,13%
P.S. 112 DUTCH KILLS,40.757217,-73.933922,"25-05 37TH AVE LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,28%,20%,43%,64%,7%
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,40.766101,-73.929913,"31-51 21ST ST LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106,25%,15%,49%,64%,10%
P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,40.764979,-73.871196,"98-01 25TH AVE EAST ELMHURST, NY 11369",EAST ELMHURST,11369,12%,13%,74%,86%,2%
I.S. R002 GEORGE L. EGBERT,40.577094,-74.10015,"333 MIDLAND AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306,11%,6%,29%,34%,54%
P.S. 013 M. L. LINDEMEYER,40.613146,-74.06915,"191 VERMONT AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305,15%,16%,44%,60%,22%
P.S. 21 MARGARET EMERY-ELM PARK,40.631307,-74.144611,"168 HOOKER PL STATEN ISLAND, NY 10302",STATEN ISLAND,10302,2%,24%,58%,83%,15%
MOTT HALL CHARTER SCHOOL,40.830895,-73.902386,"1260 FRANKLIN AVE BRONX, NY 10456",BRONX,10456,0%,40%,58%,98%,0%
ACADEMIC LEADERSHIP CHARTER SCHOOL,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454",BRONX,10454,0%,46%,52%,98%,1%
P.S. 198 ISADOR E. IDA STRAUS,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,16%,10%,27%,37%,45%
CITY KNOLL MIDDLE SCHOOL,40.753389,-73.997896,"425 W 33RD ST NEW YORK, NY 10001",NEW YORK,10001,10%,20%,47%,67%,20%
P.S. 180 HUGO NEWMAN,40.807609,-73.955839,"370 W 120TH ST NEW YORK, NY 10027",NEW YORK,10027,1%,57%,30%,87%,8%
P.S. 171 PATRICK HENRY,40.792304,-73.951449,"19 E 103RD ST NEW YORK, NY 10029",NEW YORK,10029,5%,25%,63%,89%,4%
P.S. 315 LAB SCHOOL,40.857969,-73.903757,"2246 JEROME AVE BRONX, NY 10453",BRONX,10453,1%,16%,82%,98%,1%
KAPPA III,40.845682,-73.886532,"2055 MAPES AVE BRONX, NY 10460",BRONX,10460,2%,30%,65%,95%,2%
P.S. 380 JOHN WAYNE ELEMENTARY,40.701894,-73.953459,"370 MARCY AVE BROOKLYN, NY 11206",BROOKLYN,11206,1%,19%,74%,92%,7%
I.S. 136 CHARLES O. DEWEY,40.652095,-74.007424,"4004 4TH AVE BROOKLYN, NY 11232",BROOKLYN,11232,6%,3%,84%,87%,7%
P.S. 065,40.686902,-73.878276,"696 JAMAICA AVE BROOKLYN, NY 11208",BROOKLYN,11208,2%,11%,82%,92%,0%
P.S. 095 THE GRAVESEND,40.595711,-73.975173,"345 VAN SICKLEN ST BROOKLYN, NY 11223",BROOKLYN,11223,29%,9%,39%,48%,22%
P.S. 215 MORRIS H. WEISS,40.602465,-73.970072,"415 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,23%,3%,26%,29%,47%
I.S. 281 JOSEPH B CAVALLARO,40.594445,-73.993819,"8787 24TH AVE BROOKLYN, NY 11214",BROOKLYN,11214,38%,7%,22%,29%,31%
P.S. 239,40.69943,-73.903833,"17-15 WEIRFIELD ST RIDGEWOOD, NY 11385",RIDGEWOOD,11385,13%,2%,75%,78%,9%
LEARNERS AND LEADERS,40.706955,-73.914959,"378 SENECA AVE GLENDALE, NY 11385",GLENDALE,11385,7%,2%,78%,81%,12%
P.S. 060 WOODHAVEN,40.691436,-73.85279,"91-02 88TH AVE WOODHAVEN, NY 11421",WOODHAVEN,11421,14%,3%,73%,76%,5%
P.S. 097 FOREST PARK,40.694215,-73.860039,"85-52 85TH ST WOODHAVEN, NY 11421",WOODHAVEN,11421,19%,2%,73%,76%,4%
J.H.S. 217 ROBERT A. VAN WYCK,40.710509,-73.811875,"85-05 144TH ST JAMAICA, NY 11435",JAMAICA,11435,37%,13%,41%,55%,6%
REDWOOD MIDDLE SCHOOL,40.675061,-73.77561,"133-25 GUY R BREWER BLVD JAMAICA, NY 11434",JAMAICA,11434,9%,77%,8%,85%,1%
P.S./M.S. 138 SUNRISE,40.659983,-73.734434,"251-11 WELLER AVE ROSEDALE, NY 11422",ROSEDALE,11422,3%,84%,8%,92%,2%
P.S. 195 WILLIAM HABERLE,40.652625,-73.735205,"253-50 149TH AVE ROSEDALE, NY 11422",ROSEDALE,11422,1%,92%,5%,97%,1%
P.S. 085 JUDGE CHARLES VALLONE,40.773009,-73.914843,"23-70 31ST ST LONG ISLAND CITY, NY 11105",LONG ISLAND CITY,11105,18%,4%,31%,35%,43%
P.S. 11 THOMAS DONGAN SCHOOL,40.590709,-74.097904,"50 JEFFERSON ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304,8%,16%,40%,56%,35%
P.S. 39 FRANCIS J. MURPHY JR.,40.597613,-74.071405,"71 SAND LN STATEN ISLAND, NY 10305",STATEN ISLAND,10305,14%,5%,32%,37%,47%
BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,40.694681,-73.937742,"82 LEWIS AVE BROOKLYN, NY 11206",BROOKLYN,11206,0%,62%,35%,98%,1%
DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,40.810555,-73.948862,"250 W 127TH ST NEW YORK, NY 10027",NEW YORK,10027,0%,66%,31%,98%,1%
ICAHN CHARTER SCHOOL 2,40.845031,-73.857976,"1640 BRONXDALE AVE BRONX, NY 10462",BRONX,10462,5%,29%,62%,91%,2%
P.S. 015 ROBERTO CLEMENTE,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009",NEW YORK,10009,5%,32%,60%,92%,1%
P.S. 001 ALFRED E. SMITH,40.712561,-73.997474,"8 HENRY ST NEW YORK, NY 10038",NEW YORK,10038,64%,12%,22%,34%,1%
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,40.79511,-73.973988,"735 W END AVE NEW YORK, NY 10025",NEW YORK,10025,2%,32%,55%,87%,9%
THE BILINGUAL BICULTURAL SCHOOL,40.79313,-73.941812,"219 E 109TH ST NEW YORK, NY 10029",NEW YORK,10029,1%,7%,91%,99%,0%
CENTRAL PARK EAST II,40.792304,-73.951449,"19 E 103 ST NEW YORK, NY 10029",NEW YORK,10029,6%,29%,31%,60%,25%
P.S. 189,40.853091,-73.927999,"2580 AMSTERDAM AVE NEW YORK, NY 10040",NEW YORK,10040,0%,1%,96%,97%,2%
M.S. 319 - MARIA TERESA,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032",NEW YORK,10032,0%,5%,93%,98%,1%
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",NEW YORK,10033,1%,3%,94%,97%,2%
